model,layer,head,correct,total,accuracy
bert,0,0,111721,1679481,0.06652114540338516
bert,0,1,153747,1679481,0.09154435247182846
bert,0,2,8668,1679481,0.0051611182279884815
bert,0,3,17103,1679481,0.010183502919971943
bert,0,4,153336,1679481,0.0912996307015419
bert,0,5,204252,1679481,0.12161614000797272
bert,0,6,87361,1679481,0.052016664296388626
bert,0,7,67335,1679481,0.040092743933200836
bert,0,8,381694,1679481,0.2272690236568451
bert,0,9,12876,1679481,0.0076666539534926414
bert,0,10,484821,1679481,0.2886731028556824
bert,0,11,155633,1679481,0.09266731888055801
bert,1,0,64636,1679481,0.03848569840192795
bert,1,1,269170,1679481,0.16026975214481354
bert,1,2,91217,1679481,0.05431261286139488
bert,1,3,24834,1679481,0.01478671096265316
bert,1,4,6886,1679481,0.004100075922906399
bert,1,5,44286,1679481,0.02636886015534401
bert,1,6,258,1679481,0.00015361887926701456
bert,1,7,55705,1679481,0.03316798433661461
bert,1,8,24141,1679481,0.0143740838393569
bert,1,9,624,1679481,0.00037154334131628275
bert,1,10,17702,1679481,0.010540161281824112
bert,1,11,1430,1679481,0.0008514535147696733
bert,2,0,518684,1679481,0.3088358938694
bert,2,1,26947,1679481,0.01604483835399151
bert,2,2,2113,1679481,0.0012581268092617393
bert,2,3,3893,1679481,0.0023179780691862106
bert,2,4,19475,1679481,0.01159584429115057
bert,2,5,1772,1679481,0.0010550878942012787
bert,2,6,644,1679481,0.00038345178472809494
bert,2,7,30157,1679481,0.017956143245100975
bert,2,8,44634,1679481,0.02657606638967991
bert,2,9,518684,1679481,0.3088358938694
bert,2,10,31344,1679481,0.018662909045815468
bert,2,11,261978,1679481,0.1559874713420868
bert,3,0,216,1679481,0.00012861116556450725
bert,3,1,24937,1679481,0.014848039485514164
bert,3,2,4026,1679481,0.0023971691261976957
bert,3,3,409663,1679481,0.2439223825931549
bert,3,4,38487,1679481,0.022916007786989212
bert,3,5,11849,1679481,0.00705515593290329
bert,3,6,10674,1679481,0.00635553477331996
bert,3,7,2776,1679481,0.0016528916312381625
bert,3,8,86581,1679481,0.05155223608016968
bert,3,9,384637,1679481,0.2290213406085968
bert,3,10,134364,1679481,0.0800032839179039
bert,3,11,14689,1679481,0.008746154606342316
bert,4,0,52109,1679481,0.031026847660541534
bert,4,1,16164,1679481,0.009624402038753033
bert,4,2,351,1679481,0.00020899313676636666
bert,4,3,163,1679481,9.705379488877952e-05
bert,4,4,228056,1679481,0.13578957319259644
bert,4,5,266664,1679481,0.1587776243686676
bert,4,6,88434,1679481,0.052655551582574844
bert,4,7,4364,1679481,0.0025984218809753656
bert,4,8,10391,1679481,0.006187030579894781
bert,4,9,2690,1679481,0.0016016853041946888
bert,4,10,3485,1679481,0.002075045835226774
bert,4,11,115795,1679481,0.06894689798355103
bert,5,0,106003,1679481,0.06311652064323425
bert,5,1,152,1679481,9.050415246747434e-05
bert,5,2,8423,1679481,0.005015240050852299
bert,5,3,693,1679481,0.0004126274725422263
bert,5,4,1536,1679481,0.0009145682561211288
bert,5,5,739,1679481,0.0004400168836582452
bert,5,6,658,1679481,0.0003917877038475126
bert,5,7,160240,1679481,0.09541042894124985
bert,5,8,84435,1679481,0.05027446150779724
bert,5,9,490296,1679481,0.2919330298900604
bert,5,10,9912,1679481,0.005901823285967112
bert,5,11,164431,1679481,0.09790584444999695
bert,6,0,491,1679481,0.00029235222609713674
bert,6,1,4533,1679481,0.002699048025533557
bert,6,2,1397,1679481,0.0008318045875057578
bert,6,3,1370,1679481,0.0008157282136380672
bert,6,4,3919,1679481,0.0023334589786827564
bert,6,5,262498,1679481,0.15629708766937256
bert,6,6,141998,1679481,0.08454874157905579
bert,6,7,7733,1679481,0.004604398738592863
bert,6,8,393,1679481,0.0002340008650207892
bert,6,9,22640,1679481,0.01348035503178835
bert,6,10,1542,1679481,0.0009181408095173538
bert,6,11,9136,1679481,0.00543977553024888
bert,7,0,9482,1679481,0.005645791534334421
bert,7,1,374769,1679481,0.2231457233428955
bert,7,2,420443,1679481,0.2503410279750824
bert,7,3,16616,1679481,0.00989353284239769
bert,7,4,16533,1679481,0.00984411220997572
bert,7,5,165761,1679481,0.09869775176048279
bert,7,6,83029,1679481,0.04943729564547539
bert,7,7,1340,1679481,0.0007978655048646033
bert,7,8,543786,1679481,0.32378217577934265
bert,7,9,12776,1679481,0.007607112172991037
bert,7,10,174770,1679481,0.10406190901994705
bert,7,11,115,1679481,6.847353506600484e-05
bert,8,0,2774,1679481,0.001651700702495873
bert,8,1,31,1679481,1.8458084014127962e-05
bert,8,2,19893,1679481,0.01184473093599081
bert,8,3,2713,1679481,0.001615379936993122
bert,8,4,434,1679481,0.00025841317255981266
bert,8,5,14084,1679481,0.008385923691093922
bert,8,6,96,1679481,5.716051600757055e-05
bert,8,7,37338,1679481,0.022231867536902428
bert,8,8,42309,1679481,0.025191711261868477
bert,8,9,391916,1679481,0.23335541784763336
bert,8,10,44436,1679481,0.026458173990249634
bert,8,11,40776,1679481,0.024278929457068443
bert,9,0,13214,1679481,0.007867907173931599
bert,9,1,4235,1679481,0.0025216122157871723
bert,9,2,27332,1679481,0.01627407595515251
bert,9,3,21343,1679481,0.012708092108368874
bert,9,4,15744,1679481,0.009374324232339859
bert,9,5,69694,1679481,0.04149734228849411
bert,9,6,92,1679481,5.477882587001659e-05
bert,9,7,67999,1679481,0.040488101541996
bert,9,8,27807,1679481,0.01655689999461174
bert,9,9,125,1679481,7.442775677191094e-05
bert,9,10,66344,1679481,0.03950268030166626
bert,9,11,384,1679481,0.0002286420640302822
bert,10,0,31441,1679481,0.018720664083957672
bert,10,1,730,1679481,0.0004346580826677382
bert,10,2,34324,1679481,0.020437266677618027
bert,10,3,467,1679481,0.0002780620998237282
bert,10,4,1989,1679481,0.0011842944659292698
bert,10,5,111,1679481,6.609184492845088e-05
bert,10,6,4887,1679481,0.0029098275117576122
