model,layer,head,correct,total,accuracy
gpt2,0,0,351160,1679483,0.20908814668655396
gpt2,0,1,1983,1679483,0.001180720515549183
gpt2,0,2,328800,1679483,0.19577454030513763
gpt2,0,3,4324,1679483,0.002574601909145713
gpt2,0,4,90344,1679483,0.053792744874954224
gpt2,0,5,1990,1679483,0.0011848884169012308
gpt2,0,6,397430,1679483,0.23663829267024994
gpt2,0,7,422034,1679483,0.2512880563735962
gpt2,0,8,312110,1679483,0.18583695590496063
gpt2,0,9,333991,1679483,0.1988653689622879
gpt2,0,10,166279,1679483,0.09900606423616409
gpt2,0,11,300073,1679483,0.17866986989974976
gpt2,1,0,413489,1679483,0.24620017409324646
gpt2,1,1,348264,1679483,0.2073638141155243
gpt2,1,2,304735,1679483,0.18144571781158447
gpt2,1,3,306711,1679483,0.1826222687959671
gpt2,1,4,308162,1679483,0.1834862232208252
gpt2,1,5,288514,1679483,0.17178739607334137
gpt2,1,6,334384,1679483,0.1990993618965149
gpt2,1,7,331100,1679483,0.19714400172233582
gpt2,1,8,306750,1679483,0.1826454997062683
gpt2,1,9,306764,1679483,0.18265382945537567
gpt2,1,10,133161,1679483,0.07928690314292908
gpt2,1,11,27355,1679483,0.016287749633193016
gpt2,2,0,327004,1679483,0.19470515847206116
gpt2,2,1,307892,1679483,0.18332546949386597
gpt2,2,2,505270,1679483,0.3008485436439514
gpt2,2,3,466686,1679483,0.27787479758262634
gpt2,2,4,293489,1679483,0.17474961280822754
gpt2,2,5,383336,1679483,0.22824643552303314
gpt2,2,6,298255,1679483,0.1775873899459839
gpt2,2,7,264603,1679483,0.15755027532577515
gpt2,2,8,234028,1679483,0.13934525847434998
gpt2,2,9,739777,1679483,0.44047901034355164
gpt2,2,10,282640,1679483,0.1682898849248886
gpt2,2,11,306766,1679483,0.18265502154827118
gpt2,3,0,306746,1679483,0.1826431155204773
gpt2,3,1,326896,1679483,0.1946408450603485
gpt2,3,2,487597,1679483,0.2903256416320801
gpt2,3,3,299026,1679483,0.17804646492004395
gpt2,3,4,306771,1679483,0.18265800178050995
gpt2,3,5,311631,1679483,0.1855517476797104
gpt2,3,6,804603,1679483,0.4790777862071991
gpt2,3,7,598974,1679483,0.35664188861846924
gpt2,3,8,308362,1679483,0.18360531330108643
gpt2,3,9,263491,1679483,0.15688815712928772
gpt2,3,10,306762,1679483,0.18265263736248016
gpt2,3,11,274568,1679483,0.1634836494922638
gpt2,4,0,291125,1679483,0.1733420342206955
gpt2,4,1,336611,1679483,0.20042537152767181
gpt2,4,2,306806,1679483,0.18267883360385895
gpt2,4,3,833603,1679483,0.49634501338005066
gpt2,4,4,307460,1679483,0.18306824564933777
gpt2,4,5,307152,1679483,0.18288485705852509
gpt2,4,6,306257,1679483,0.1823519468307495
gpt2,4,7,132114,1679483,0.07866349071264267
gpt2,4,8,306715,1679483,0.18262465298175812
gpt2,4,9,304579,1679483,0.18135283887386322
gpt2,4,10,306756,1679483,0.18264906108379364
gpt2,4,11,501487,1679483,0.298596054315567
gpt2,5,0,306650,1679483,0.1825859546661377
gpt2,5,1,306746,1679483,0.1826431155204773
gpt2,5,2,330146,1679483,0.19657596945762634
gpt2,5,3,349843,1679483,0.20830398797988892
gpt2,5,4,310113,1679483,0.18464788794517517
gpt2,5,5,306763,1679483,0.18265323340892792
gpt2,5,6,299096,1679483,0.17808814346790314
