model,layer,head,correct,total,accuracy
bert,0,0,63579,1335993,0.047589320689439774
bert,0,1,100493,1335993,0.07521970570087433
bert,0,2,61982,1335993,0.04639395698904991
bert,0,3,88638,1335993,0.06634615361690521
bert,0,4,147587,1335993,0.11046989262104034
bert,0,5,66524,1335993,0.04979367554187775
bert,0,6,84754,1335993,0.06343895196914673
bert,0,7,185382,1335993,0.13875970244407654
bert,0,8,50536,1335993,0.0378265455365181
bert,0,9,117196,1335993,0.08772201836109161
bert,0,10,103917,1335993,0.07778259366750717
bert,0,11,188151,1335993,0.14083231985569
bert,1,0,6687,1335993,0.005005265586078167
bert,1,1,53685,1335993,0.04018359258770943
bert,1,2,118593,1335993,0.08876767754554749
bert,1,3,57628,1335993,0.04313495755195618
bert,1,4,190194,1335993,0.14236152172088623
bert,1,5,19956,1335993,0.01493720430880785
bert,1,6,84000,1335993,0.06287457793951035
bert,1,7,20906,1335993,0.015648284927010536
bert,1,8,69599,1335993,0.052095331251621246
bert,1,9,27407,1335993,0.02051432989537716
bert,1,10,24160,1335993,0.018083926290273666
bert,1,11,30548,1335993,0.02286538854241371
bert,2,0,60683,1335993,0.04542164504528046
bert,2,1,124,1335993,9.281485836254433e-05
bert,2,2,7272,1335993,0.005443142261356115
bert,2,3,75182,1335993,0.05627424642443657
bert,2,4,86923,1335993,0.06506246328353882
bert,2,5,4135,1335993,0.003095076186582446
bert,2,6,190200,1335993,0.14236602187156677
bert,2,7,6335,1335993,0.004741791170090437
bert,2,8,554,1335993,0.00041467283153906465
bert,2,9,67798,1335993,0.05074727162718773
bert,2,10,138052,1335993,0.10333287715911865
bert,2,11,86,1335993,6.437159754568711e-05
bert,3,0,112975,1335993,0.08456256985664368
bert,3,1,41281,1335993,0.030899114906787872
bert,3,2,44171,1335993,0.033062297850847244
bert,3,3,126107,1335993,0.09439196437597275
bert,3,4,163801,1335993,0.12260618060827255
bert,3,5,232994,1335993,0.17439761757850647
bert,3,6,24157,1335993,0.018081681802868843
bert,3,7,14234,1335993,0.010654247365891933
bert,3,8,144399,1335993,0.10808365046977997
bert,3,9,314,1335993,0.00023503116972278804
bert,3,10,2022,1335993,0.001513481023721397
bert,3,11,1622,1335993,0.0012140781618654728
bert,4,0,77866,1335993,0.0582832396030426
bert,4,1,35401,1335993,0.026497893035411835
bert,4,2,83633,1335993,0.06259988248348236
bert,4,3,46863,1335993,0.035077281296253204
bert,4,4,32610,1335993,0.02440880984067917
bert,4,5,5012,1335993,0.0037515165749937296
bert,4,6,64412,1335993,0.04821282625198364
bert,4,7,105539,1335993,0.0789966732263565
bert,4,8,1595,1335993,0.0011938685784116387
bert,4,9,26975,1335993,0.020190974697470665
bert,4,10,19677,1335993,0.014728370122611523
bert,4,11,25463,1335993,0.019059231504797935
bert,5,0,372,1335993,0.0002784445823635906
bert,5,1,152684,1335993,0.11428502947092056
bert,5,2,25287,1335993,0.018927494063973427
bert,5,3,21031,1335993,0.015741849318146706
bert,5,4,93865,1335993,0.07025860249996185
bert,5,5,31915,1335993,0.02388859912753105
bert,5,6,535,1335993,0.0004004511865787208
bert,5,7,147,1335993,0.00011003051622537896
bert,5,8,63841,1335993,0.047785431146621704
bert,5,9,140399,1335993,0.10508961975574493
bert,5,10,495,1335993,0.0003705109120346606
bert,5,11,9080,1335993,0.006796442903578281
bert,6,0,77157,1335993,0.05775254964828491
