model,layer,head,correct,total,accuracy
gpt2,0,0,19768,1335993,0.014796484261751175
gpt2,0,1,81824,1335993,0.06124582886695862
gpt2,0,2,258688,1335993,0.19362975656986237
gpt2,0,3,194486,1335993,0.14557412266731262
gpt2,0,4,185392,1335993,0.13876719772815704
gpt2,0,5,79318,1335993,0.059370070695877075
gpt2,0,6,58125,1335993,0.043506965041160583
gpt2,0,7,307791,1335993,0.23038369417190552
gpt2,0,8,296787,1335993,0.2221471220254898
gpt2,0,9,2685,1335993,0.0020097410306334496
gpt2,0,10,55144,1335993,0.041275665163993835
gpt2,0,11,17528,1335993,0.013119828887283802
gpt2,1,0,220923,1335993,0.1653623878955841
gpt2,1,1,216166,1335993,0.16180174052715302
gpt2,1,2,216164,1335993,0.16180025041103363
gpt2,1,3,184724,1335993,0.13826718926429749
gpt2,1,4,216166,1335993,0.16180174052715302
gpt2,1,5,216054,1335993,0.16171790659427643
gpt2,1,6,258670,1335993,0.19361628592014313
gpt2,1,7,220100,1335993,0.16474637389183044
gpt2,1,8,203163,1335993,0.15206891298294067
gpt2,1,9,213806,1335993,0.16003526747226715
gpt2,1,10,214113,1335993,0.16026505827903748
gpt2,1,11,191988,1335993,0.1437043398618698
gpt2,2,0,248961,1335993,0.1863490343093872
gpt2,2,1,209097,1335993,0.15651054680347443
gpt2,2,2,214143,1335993,0.1602875143289566
gpt2,2,3,261966,1335993,0.19608336687088013
gpt2,2,4,97207,1335993,0.07276011258363724
gpt2,2,5,200599,1335993,0.15014973282814026
gpt2,2,6,271768,1335993,0.2034202218055725
gpt2,2,7,124013,1335993,0.09282458573579788
gpt2,2,8,174382,1335993,0.13052614033222198
gpt2,2,9,239840,1335993,0.17952190339565277
gpt2,2,10,214673,1335993,0.1606842279434204
gpt2,2,11,215513,1335993,0.16131296753883362
gpt2,3,0,215869,1335993,0.1615794450044632
gpt2,3,1,216153,1335993,0.16179201006889343
gpt2,3,2,188354,1335993,0.14098426699638367
gpt2,3,3,183599,1335993,0.13742512464523315
gpt2,3,4,270848,1335993,0.20273159444332123
gpt2,3,5,259236,1335993,0.1940399408340454
gpt2,3,6,192827,1335993,0.14433234930038452
gpt2,3,7,199264,1335993,0.14915047585964203
gpt2,3,8,304827,1335993,0.22816511988639832
gpt2,3,9,121110,1335993,0.09065167605876923
gpt2,3,10,265767,1335993,0.19892843067646027
gpt2,3,11,229374,1335993,0.1716880202293396
gpt2,4,0,327695,1335993,0.24528197944164276
gpt2,4,1,190750,1335993,0.1427776962518692
gpt2,4,2,315998,1335993,0.23652668297290802
gpt2,4,3,96901,1335993,0.0725310668349266
gpt2,4,4,215849,1335993,0.16156446933746338
gpt2,4,5,199506,1335993,0.14933161437511444
gpt2,4,6,216149,1335993,0.16178901493549347
gpt2,4,7,195813,1335993,0.14656738936901093
gpt2,4,8,203702,1335993,0.1524723619222641
gpt2,4,9,191954,1335993,0.14367890357971191
gpt2,4,10,216173,1335993,0.16180698573589325
gpt2,4,11,91730,1335993,0.06866054236888885
gpt2,5,0,217312,1335993,0.16265954077243805
gpt2,5,1,206747,1335993,0.15475155413150787
gpt2,5,2,242802,1335993,0.1817389726638794
gpt2,5,3,213488,1335993,0.15979725122451782
gpt2,5,4,240868,1335993,0.18029136955738068
gpt2,5,5,215795,1335993,0.16152404248714447
gpt2,5,6,184700,1335993,0.1382492333650589
gpt2,5,7,281369,1335993,0.210606649518013
gpt2,5,8,194509,1335993,0.14559133350849152
gpt2,5,9,215686,1335993,0.16144245862960815
gpt2,5,10,192629,1335993,0.1441841423511505
