model,layer,head,correct,total,accuracy
bert,0,0,227458,1374476,0.16548706591129303
bert,0,1,174327,1374476,0.12683160603046417
bert,0,2,146994,1374476,0.10694548487663269
bert,0,3,503319,1374476,0.36618974804878235
bert,0,4,95247,1374476,0.0692969560623169
bert,0,5,132067,1374476,0.09608534723520279
bert,0,6,278363,1374476,0.20252299308776855
bert,0,7,158526,1374476,0.11533559113740921
bert,0,8,138981,1374476,0.1011156216263771
bert,0,9,107678,1374476,0.07834112644195557
bert,0,10,24932,1374476,0.018139276653528214
bert,0,11,38800,1374476,0.028228940442204475
bert,1,0,92767,1374476,0.06749262660741806
bert,1,1,71743,1374476,0.05219661816954613
bert,1,2,103588,1374476,0.07536544650793076
bert,1,3,3191,1374476,0.0023216120898723602
bert,1,4,204308,1374476,0.14864428341388702
bert,1,5,145293,1374476,0.10570792108774185
bert,1,6,92,1374476,6.69345972710289e-05
bert,1,7,152087,1374476,0.11065089702606201
bert,1,8,41481,1374476,0.030179500579833984
bert,1,9,154,1374476,0.00011204269685549662
bert,1,10,57919,1374476,0.0421389676630497
bert,1,11,83226,1374476,0.060551077127456665
bert,2,0,190337,1374476,0.13847967982292175
bert,2,1,31769,1374476,0.023113535717129707
bert,2,2,11752,1374476,0.008550167083740234
bert,2,3,12870,1374476,0.009363568387925625
bert,2,4,273,1374476,0.00019862114277202636
bert,2,5,342813,1374476,0.2494135946035385
bert,2,6,170,1374476,0.00012368349416647106
bert,2,7,70541,1374476,0.051322102546691895
bert,2,8,311,1374476,0.0002262680500280112
bert,2,9,13412,1374476,0.00975790061056614
bert,2,10,121444,1374476,0.08835658431053162
bert,2,11,79930,1374476,0.058153070509433746
bert,3,0,164579,1374476,0.11973945051431656
bert,3,1,91259,1374476,0.06639548391103745
bert,3,2,174504,1374476,0.1269603818655014
bert,3,3,17573,1374476,0.012785236351191998
bert,3,4,101640,1374476,0.07394818216562271
bert,3,5,448,1374476,0.0003259423829149455
bert,3,6,4885,1374476,0.003554081777110696
bert,3,7,63591,1374476,0.046265631914138794
bert,3,8,397172,1374476,0.2889624834060669
bert,3,9,51,1374476,3.710504824994132e-05
bert,3,10,127500,1374476,0.09276262670755386
bert,3,11,1723,1374476,0.0012535686837509274
bert,4,0,44703,1374476,0.03252366557717323
bert,4,1,41518,1374476,0.03020642139017582
bert,4,2,210436,1374476,0.15310271084308624
bert,4,3,19,1374476,1.3823449990013614e-05
bert,4,4,58148,1374476,0.04230557754635811
bert,4,5,39661,1374476,0.02885536104440689
bert,4,6,170,1374476,0.00012368349416647106
bert,4,7,6227,1374476,0.004530453588813543
bert,4,8,214229,1374476,0.15586230158805847
bert,4,9,1051,1374476,0.0007646550657227635
bert,4,10,1441,1374476,0.0010483994847163558
bert,4,11,257338,1374476,0.18722626566886902
bert,5,0,114218,1374476,0.08309930562973022
bert,5,1,145880,1374476,0.10613499581813812
bert,5,2,114310,1374476,0.08316624164581299
bert,5,3,38,1374476,2.764689998002723e-05
bert,5,4,25536,1374476,0.01857871562242508
bert,5,5,174464,1374476,0.12693127989768982
bert,5,6,130544,1374476,0.09497728943824768
bert,5,7,5997,1374476,0.004363117273896933
bert,5,8,342782,1374476,0.24939103424549103
bert,5,9,73680,1374476,0.053605884313583374
bert,5,10,17884,1374476,0.013011503964662552
bert,5,11,24,1374476,1.746119960444048e-05
bert,6,0,130130,1374476,0.09467607736587524
bert,6,1,50239,1374476,0.03655138239264488
bert,6,2,2556,1374476,0.0018596177687868476
bert,6,3,21767,1374476,0.015836579725146294
bert,6,4,170160,1374476,0.12379990518093109
bert,6,5,371539,1374476,0.27031320333480835
bert,6,6,29500,1374476,0.02146272547543049
bert,6,7,49,1374476,3.564995131455362e-05
bert,6,8,267,1374476,0.00019425584468990564
bert,6,9,7551,1374476,0.005493729840964079
bert,6,10,1888,1374476,0.0013736144173890352
bert,6,11,77332,1374476,0.056262895464897156
bert,7,0,148488,1374476,0.10803244262933731
bert,7,1,462505,1374476,0.3364955186843872
