model,layer,head,correct,total,accuracy
gpt2,0,0,347904,1374692,0.25307777523994446
gpt2,0,1,331931,1374692,0.2414584457874298
gpt2,0,2,343529,1374692,0.24989524483680725
gpt2,0,3,460000,1374692,0.3346204161643982
gpt2,0,4,310071,1374692,0.22555670142173767
gpt2,0,5,141814,1374692,0.103160560131073
gpt2,0,6,315852,1374692,0.2297620177268982
gpt2,0,7,297790,1374692,0.21662306785583496
gpt2,0,8,465830,1374692,0.338861346244812
gpt2,0,9,365415,1374692,0.2658159136772156
gpt2,0,10,358139,1374692,0.26052308082580566
gpt2,0,11,382331,1374692,0.2781212031841278
gpt2,1,0,482808,1374692,0.3512117564678192
gpt2,1,1,107059,1374692,0.07787853479385376
gpt2,1,2,146491,1374692,0.1065627783536911
gpt2,1,3,1006,1374692,0.0007318002753891051
gpt2,1,4,297827,1374692,0.21664997935295105
gpt2,1,5,297829,1374692,0.21665143966674805
gpt2,1,6,372641,1374692,0.2710723578929901
gpt2,1,7,230223,1374692,0.16747242212295532
gpt2,1,8,330893,1374692,0.24070337414741516
gpt2,1,9,287733,1374692,0.2093072533607483
gpt2,1,10,224682,1374692,0.1634417027235031
gpt2,1,11,318063,1374692,0.23137037456035614
gpt2,2,0,347156,1374692,0.2525336444377899
gpt2,2,1,304101,1374692,0.2212139219045639
gpt2,2,2,256950,1374692,0.1869145929813385
gpt2,2,3,308291,1374692,0.22426186501979828
gpt2,2,4,250835,1374692,0.1824663281440735
gpt2,2,5,313171,1374692,0.2278117537498474
gpt2,2,6,252172,1374692,0.18343891203403473
gpt2,2,7,467674,1374692,0.3402027487754822
gpt2,2,8,355304,1374692,0.25846078991889954
gpt2,2,9,10961,1374692,0.007973422296345234
gpt2,2,10,136220,1374692,0.09909128397703171
gpt2,2,11,465204,1374692,0.3384059965610504
gpt2,3,0,315661,1374692,0.22962307929992676
gpt2,3,1,296884,1374692,0.21596401929855347
gpt2,3,2,300528,1374692,0.21861478686332703
gpt2,3,3,429774,1374692,0.3126329481601715
gpt2,3,4,716056,1374692,0.5208846926689148
gpt2,3,5,300979,1374692,0.21894286572933197
gpt2,3,6,120267,1374692,0.08748650550842285
gpt2,3,7,465221,1374692,0.3384183645248413
gpt2,3,8,308803,1374692,0.2246343195438385
gpt2,3,9,297809,1374692,0.21663689613342285
gpt2,3,10,297818,1374692,0.21664343774318695
gpt2,3,11,296073,1374692,0.21537406742572784
gpt2,4,0,324301,1374692,0.2359081208705902
gpt2,4,1,326427,1374692,0.2374546378850937
gpt2,4,2,298812,1374692,0.21736650168895721
gpt2,4,3,82544,1374692,0.060045450925827026
gpt2,4,4,304839,1374692,0.22175076603889465
gpt2,4,5,440693,1374692,0.3205758035182953
gpt2,4,6,510347,1374692,0.3712446093559265
gpt2,4,7,295876,1374692,0.2152307629585266
gpt2,4,8,357540,1374692,0.26008734107017517
gpt2,4,9,298159,1374692,0.21689149737358093
gpt2,4,10,306024,1374692,0.22261276841163635
gpt2,4,11,337477,1374692,0.2454928159713745
gpt2,5,0,297416,1374692,0.2163510024547577
gpt2,5,1,298458,1374692,0.21710899472236633
gpt2,5,2,276794,1374692,0.20134982466697693
gpt2,5,3,298042,1374692,0.21680638194084167
gpt2,5,4,297687,1374692,0.2165481448173523
gpt2,5,5,294276,1374692,0.21406686305999756
gpt2,5,6,659544,1374692,0.4797758460044861
gpt2,5,7,381727,1374692,0.277681827545166
gpt2,5,8,301491,1374692,0.219315305352211
gpt2,5,9,321185,1374692,0.23364143073558807
gpt2,5,10,297795,1374692,0.21662670373916626
gpt2,5,11,288370,1374692,0.20977061986923218
gpt2,6,0,356216,1374692,0.259124219417572
gpt2,6,1,297790,1374692,0.21662306785583496
gpt2,6,2,297793,1374692,0.21662525832653046
gpt2,6,3,188282,1374692,0.13696303963661194
gpt2,6,4,297845,1374692,0.21666307747364044
gpt2,6,5,322171,1374692,0.23435868322849274
gpt2,6,6,350262,1374692,0.25479307770729065
gpt2,6,7,618651,1374692,0.45002880692481995
gpt2,6,8,297792,1374692,0.21662452816963196
gpt2,6,9,297838,1374692,0.21665798127651215
gpt2,6,10,297840,1374692,0.21665944159030914
gpt2,6,11,297787,1374692,0.21662089228630066
gpt2,7,0,292799,1374692,0.21299244463443756
gpt2,7,1,293853,1374692,0.2137591540813446
gpt2,7,2,294610,1374692,0.21430982649326324
gpt2,7,3,297418,1374692,0.2163524627685547
gpt2,7,4,390660,1374692,0.28418001532554626
gpt2,7,5,210901,1374692,0.15341691672801971
gpt2,7,6,306509,1374692,0.22296558320522308
gpt2,7,7,313369,1374692,0.22795578837394714
gpt2,7,8,377947,1374692,0.2749321162700653
gpt2,7,9,338557,1374692,0.24627843499183655
gpt2,7,10,304491,1374692,0.22149761021137238
gpt2,7,11,351417,1374692,0.25563326478004456
gpt2,8,0,406319,1374692,0.2955709397792816
gpt2,8,1,299402,1374692,0.2177956998348236
gpt2,8,2,298721,1374692,0.21730031073093414
gpt2,8,3,314056,1374692,0.2284555435180664
gpt2,8,4,317968,1374692,0.23130126297473907
gpt2,8,5,297693,1374692,0.2165525108575821
gpt2,8,6,370242,1374692,0.2693272531032562
gpt2,8,7,302115,1374692,0.21976922452449799
gpt2,8,8,391997,1374692,0.2851526141166687
gpt2,8,9,298329,1374692,0.21701516211032867
gpt2,8,10,297828,1374692,0.21665070950984955
gpt2,8,11,303945,1374692,0.22110043466091156
gpt2,9,0,361015,1374692,0.2626152038574219
gpt2,9,1,298895,1374692,0.21742688119411469
gpt2,9,2,319176,1374692,0.23218001425266266
gpt2,9,3,277565,1374692,0.20191068947315216
gpt2,9,4,364861,1374692,0.2654128968715668
gpt2,9,5,297593,1374692,0.21647976338863373
gpt2,9,6,297690,1374692,0.2165503203868866
gpt2,9,7,185921,1374692,0.13524556159973145
gpt2,9,8,323340,1374692,0.23520904779434204
gpt2,9,9,295735,1374692,0.21512818336486816
gpt2,9,10,298654,1374692,0.21725156903266907
gpt2,9,11,381260,1374692,0.2773421108722687
gpt2,10,0,295153,1374692,0.21470482647418976
gpt2,10,1,297770,1374692,0.21660852432250977
gpt2,10,2,321550,1374692,0.23390693962574005
gpt2,10,3,298405,1374692,0.21707044541835785
gpt2,10,4,299242,1374692,0.21767930686473846
gpt2,10,5,297768,1374692,0.21660706400871277
gpt2,10,6,297536,1374692,0.21643829345703125
gpt2,10,7,297765,1374692,0.21660488843917847
